"NCT","Brief_Title","Year","Phase","Sponsor_Class","Registry_Source","Status","Enrollment","Modality","Radiation","Strict_GBM_Only","Pediatric_title","NCO","NCO_strict","NCO_Designation","NCO_Instruments","HRQoL","HRQoL_Designation","HRQoL_Instruments"
"NCT05708352","A Phase 2 Study of the Ketogenic Diet vs Standard Anti-cancer Diet Guidance for Patients With Glioblastoma in Combination With Standard-of-care Treatment",2023,"PHASE2","Academic/Investigator-Initiated","US","RECRUITING",170,"Other / Investigational",0,"Yes",FALSE,1,1,"Secondary","Domain named, tool unspecified; hopkins verbal; hvlt; hvlt-r",1,"Secondary","fact-br; functional assessment of cancer therapy; health-related quality; quality of life"
"NCT01071837","APG101 in Glioblastoma",2009,"PHASE2","Industry","US","COMPLETED",84,"Radiation; Targeted / Small Molecule",1,"Yes",FALSE,1,0,"Secondary","Domain named, tool unspecified",1,"Secondary","quality of life"
"NCT01290939","Bevacizumab and Lomustine for Recurrent GBM",2011,"PHASE3","Government/Cooperative Group","US","COMPLETED",592,"Cytotoxic Chemotherapy; Targeted / Small Molecule",0,"Yes",FALSE,0,0,"None","None",1,"Secondary","quality of life"
"NCT00243022","Dietary, Herbal and Alternative Medicine in Glioblastoma Multiforme",2004,"PHASE2","Academic/Investigator-Initiated","US","TERMINATED",12,"Other / Investigational",0,"No",FALSE,0,0,"None","None",1,"Secondary","eortc; qlq-c30; quality of life"
"NCT00118222","High Light and Low Light Dose PDT in Glioma",2005,"PHASE3","Academic/Investigator-Initiated","US","COMPLETED",1,"Surgical",0,"No",FALSE,0,0,"None","None",0,"None","None"
"NCT00817284","Bevacizumab and Irinotecan or Bevacizumab and Temozolomide With Concomitant Radiotherapy for Primary Glioblastoma Multiforme (GBM)",2008,"PHASE2","Academic/Investigator-Initiated","US","COMPLETED",60,"Radiation; Cytotoxic Chemotherapy; Targeted / Small Molecule",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT04765098","Tamoxifen Versus Etoposide After First Recurrence in GBM Patients",2022,"PHASE2","Academic/Investigator-Initiated","US","RECRUITING",60,"Cytotoxic Chemotherapy; Targeted / Small Molecule",0,"Yes",FALSE,0,0,"None","None",1,"Secondary","bn20; eortc; health-related quality; qlq-bn20"
"NCT01656980","Safety and Efficacy Study of Intracranially Implanted Carmustine to Treat Newly Diagnosed Malignant Glioma",2012,"PHASE3","Industry","US","UNKNOWN",236,"Surgical; Cytotoxic Chemotherapy",0,"No",FALSE,0,0,"None","None",1,"Secondary","quality of life"
"NCT01062425","Temozolomide and Radiation Therapy With or Without Cediranib Maleate in Treating Patients With Newly Diagnosed Glioblastoma",2010,"PHASE2","Government/Cooperative Group","US","COMPLETED",261,"Radiation; Cytotoxic Chemotherapy; Targeted / Small Molecule",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT02152982","Temozolomide With or Without Veliparib in Treating Patients With Newly Diagnosed Glioblastoma Multiforme",2014,"PHASE2/PHASE3","Government/Cooperative Group","US","ACTIVE_NOT_RECRUITING",447,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",1,"Exploratory","quality of life"
"NCT02617589","An Investigational Immuno-therapy Study of Nivolumab Compared to Temozolomide, Each Given With Radiation Therapy, for Newly-diagnosed Patients With Glioblastoma (GBM, a Malignant Brain Cancer)",2016,"PHASE3","Industry","US","COMPLETED",560,"Radiation; Cytotoxic Chemotherapy; Immunotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT06218524","The Effectiveness of HP and TMZ Synergism on Adult Recurrence GBM",2024,"PHASE2","Academic/Investigator-Initiated","US","NOT_YET_RECRUITING",200,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00643825","Prolonged Adjuvant Temozolomide vs ""Stop & Go"" in Glioblastoma Patients",2008,"PHASE2","Academic/Investigator-Initiated","US","UNKNOWN",64,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT01811121","MEDICO-ECONOMIC EVALUATION OF SURGERY GUIDED BY FLUORESCENCE FOR THE OPTIMIZATION OF RESECTION OF GLIOBLASTOMAS",2013,"PHASE3","Academic/Investigator-Initiated","US","COMPLETED",170,"Surgical",0,"Yes",FALSE,0,0,"None","None",1,"Exploratory","bn20; eortc; qlq-c30; quality of life"
"NCT04600817","A Study to Evaluate the Efficacy and Safety of TJ107 in Lympopenic Patients With Newly Diagnosed Glioblastoma Who Completed Standard Concurrent Chemoradiotherapy (CCRT)",2020,"PHASE2","Industry","US","UNKNOWN",160,"Radiation",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT03243851","Study on Low Dose Temozolomide Plus Metformin or Placebo in Patient With Recurrent or Refractory Glioblastoma",2016,"PHASE2","Academic/Investigator-Initiated","US","COMPLETED",81,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",1,"Secondary","bn20; eortc; qlq-bn20; qlq-c30; quality of life"
"NCT00777153","Cediranib in Combination With Lomustine Chemotherapy in Recurrent Glioblastoma",2008,"PHASE3","Industry","US","COMPLETED",423,"Cytotoxic Chemotherapy; Targeted / Small Molecule",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT01860638","A Comparison of Continuous Bevacizumab (Avastin) Treatment or Placebo in Addition to Lomustine Followed by Standard of Care After Disease Progression in Participants With Glioblastoma",2013,"PHASE2","Industry","US","COMPLETED",296,"Radiation; Cytotoxic Chemotherapy; Targeted / Small Molecule",1,"Yes",FALSE,1,1,"Secondary","controlled oral word; hopkins verbal; hvlt; hvlt-r; mini mental; mmse; tmt; trail-making",1,"Secondary","bn20; eortc; eq-5d; euroqol; qlq bn20; qlq c30; quality of life"
"NCT03741244","TMZ Plus Apatinib in Newly Diagnosed High-grade Glioma：RCT",2019,"PHASE2","Academic/Investigator-Initiated","US","UNKNOWN",211,"Cytotoxic Chemotherapy; Targeted / Small Molecule",0,"No",FALSE,0,0,"None","None",0,"None","None"
"NCT03452579","Nivolumab Plus Standard Dose Bevacizumab Versus Nivolumab Plus Low Dose Bevacizumab in GBM",2018,"PHASE2","Academic/Investigator-Initiated","US","ACTIVE_NOT_RECRUITING",90,"Targeted / Small Molecule; Immunotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
